Class ID,Class Name,GT Instances (val),Precision,Recall,mAP@50,Status
107,static_mixer,0,,,,No GT instances in val split
108,storage_tank,0,0.4844,0.6667,0.555,Evaluated
109,tag,0,,,,No GT instances in val split
110,tank,0,0,0,0.0142,Evaluated
111,temperature_control_valve,0,0,0,0,Evaluated
112,temperature_controller,0,1,0,0.0183,Evaluated
113,temperature_element,0,0,0,0.0037,Evaluated
114,temperature_indicating_controller,0,0.1735,0.0867,0.1675,Evaluated
115,temperature_indicator,0,0.2668,0.2174,0.1167,Evaluated
116,temperature_transmitter,0,0.0821,0.0204,0.0303,Evaluated
117,unclassified_relay_compute,0,,,,No GT instances in val split
118,unclassified_state_indicator,0,,,,No GT instances in val split
119,utility connection,0,0.9504,0.9971,0.9927,Evaluated
120,vertical_flash_drum,0,0,0,0,Evaluated
121,y_strainer,0,0.4506,0.6667,0.6153,Evaluated
